a,Estimated Internet users per 100 inhabitants,c,d,e,f,g,h,i,j,k,l,Metadata for estimated Internet users per 100 inhabitants,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
TFYR Macedonia,2.48556631640066,3.46818460849398,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,,,Makedonski Telekomunikacii A.D.,,Makedonski Telekomunikacii A.D.,,Makedonski Telekomunikacii A.D.,,Makedonski Telekomunikacii A.D.,Population age 16-74.,Eurostat.,Population age 16-74.,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Thailand,3.68904127944164,5.55632612097332,7.53125033488567,9.29902723805965,10.6773033237281,15.0260043588909,17.1607147169285,20.03,23.89,25.8,,,NECTEC.,,NECTEC.,,NECTEC.,,NECTEC.,,NECTEC.,,NECTEC.,,NECTEC.,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology,,Ministry of Information and Communication Technology
Timor-Leste,,,0.0,,,0.0990317678179026,0.116628276525644,0.140958763923202,0.163876815618553,0.185251509799805,,,,,,,Communication Regulatory Authority.,,,,,,Communication Regulatory Authority.,,Communication Regulatory Authority.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Togo,1.90567445058453,2.77578178506085,3.6015458555121,3.68543318493907,3.782114602522,5.00660872351504,5.20757135308489,5.41703469330584,5.41912688575939,5.38360529615495,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate. ,,Autorité de réglementation des secteurs de postes et de télécommunications (ART&P).
Tokelau,,,,1.49588631264024,11.8670886075949,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,2.4343980443669,2.82537183911525,2.90729731626382,2.98581736750435,3.95237389457043,4.90778276190383,5.85394409483389,7.17986532901248,8.11076994380395,8.07948676022199,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,Prime Minister's Office.,,ITU estimate.
Trinidad & Tobago,7.72141147401745,15.384627218944,21.9986754804449,25.9717641091609,27.0242700782714,28.9767124326784,30.0037485791676,32.3,34.8,44.3,,,Telecommunications Services of Trinidad and Tobago (TSTT).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Telecommunications Authority of Trinidad and Tobago,,Telecommunications Authority of Trinidad and Tobago,,Telecommunications Authority of Trinidad and Tobago
Tunisia,2.75074029298135,4.29796603474685,5.25288729548421,6.49084579532797,8.52881775162591,9.65508654217982,12.9864086534204,17.1,27.53,34.07,,,,,,,,,,,,,,,,,Ministère des Technologies de la Communication,,Ministère des Technologies de la Communication,,Ministère des Technologies de la Communication
Turkey,3.761685035075,5.18948146078506,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,,Population age 16-74.,Türk Telekomünikasyon A.S.,Population age 16-74.,Türk Telekomünikasyon A.S.,Population age 16-74.,ITU estimate.,Population age 16-74.,ITU estimate.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Estimated based on % of Internet users as reported in surveys in 2005 and 2007.,Telecommunications Authority.,Population age 16-74.,Eurostat.,Population age 16-74.,Turkish Statistical Institution.,Population age 16-74.,Turkish Statistical Institution.
Turkmenistan,0.13328218259348,0.175209517731422,0.302132016152841,0.425182631884743,0.754053982724623,0.997256558542959,1.3195731180963,1.40636068812023,1.4870277645928,1.57342215992897,,,Ministry of Communications.,,Ministry of Communications.,,ITU estimate.,,ITU estimate.,,Ministry of Communications.,,ITU estimate.,,Ministry of Communications.,,Ministry of Communications.,,ITU estimate.,,ITU estimate.
Turks & Caicos Is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,5.24163958486214,10.4264414555312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0.163714063074854,0.237945087191408,0.384093504951945,0.464849840113968,0.719970679914031,1.7422055032439,2.52936303826279,3.67196535074744,7.89718122751574,9.78298137274489,,,,,,,,,,,,,,,,,Uganda Communications Commission (UCC).,,Uganda Communications Commission (UCC).,,Uganda Communications Commission (UCC).
Ukraine,0.716183762031043,1.23875954748114,1.87388511643427,3.14812758815439,3.4894778812677,3.749764414659,4.50612456357379,6.55,10.55,17.0,,,State Department of Communications & Information Technology.,,RCC.,,RCC.,,State Department of Communications & Information Technology.,,State Department of Communications & Information Technology.,Population age 15-59 who used internet in the last 4 weeks.,Estimate.,,State Department of Communications & Information Technology.,,State Statistics Committee of Ukraine,,State Statistics Committee of Ukraine,,ITU estimate.
United Arab Emirates,23.6253008751553,26.2717542010006,28.3164853110439,29.4779534120864,30.1312961695367,40.0,52.0,61.0,72.0,75.0,,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,Emirates Telecommunications Corporation (ETISALAT).,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,TRA,,ITU estimate. 
United Kingdom,26.8217543508578,33.4810948744147,56.48,64.82,65.61,70.0,68.82,75.09,78.39,83.56,,Population age 16+ using internet in the last 3 months.,ONS.,Population age 16+ using internet in the last 3 months.,ONS.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,v,Population age 16-74.,Eurostat.83.56 Eurostat.
United States,43.0791626375201,49.0808315896951,58.7854038836952,61.6971171244207,64.7582564759896,67.968052915002,68.9311932699721,75.0,74.0,78.0,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Federal Communications Commission,"Pew Internet Project, ""Usage over Time""   http://www.pewinternet.org/Trend-Data/Usage-Over-Time.aspx",Federal Communications Commission,"Broadband Adoption and Use in America, February 2010 survey. Data refer to adult Internet users. November.",Federal Communications Commission
Uruguay,10.5390577480141,11.1214376832783,11.4194701966853,15.9371367159756,17.0630983403661,20.0881895579305,29.4,34.0,39.3,41.8,,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,Administración Nacional de Telecomunicaciones (ANTEL).,,,Estimated based on Survey's results. Population age 6+.,ITU estimate.,Population age 6+.,Instituto Nacional de Estadística (INE).,Population age 6+.,Instituto Nacional de Estadística (INE).
Uzbekistan,0.484347307694947,0.597567993875805,1.08193974248733,1.91259517784997,2.59372542084924,3.34350988825952,6.38832196706805,7.49060468138629,9.0801145234501,17.0582162104349,,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.,,Communication and Information Agency of Uzbekistan.
Vanuatu,2.10833689115184,2.83057223877678,3.51003871071264,3.90329584542948,4.74660261917533,5.08233380768449,5.85058505850585,7.45584604116504,7.26911992337492,7.08959580963184,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate. 
Venezuela,3.3595974645036,4.63600094778677,4.91044632720325,7.49996346522407,8.40446959241215,12.5529979098299,15.2247114771787,20.83,25.88,31.2,,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones CONATEL,,Comisión Nacional de Telecomunicaciones CONATEL,,Comisión Nacional de Telecomunicaciones CONATEL
Viet Nam,0.25424827575493403,1.26565123612317,1.85499923592581,3.78028081370641,7.64240852842363,12.7399292907031,17.2545617186662,20.7554447679753,23.9207542176834,26.55,,,Vietnam Post & Telecommunications Corp. (VNPT).,,Vietnam Post & Telecommunications Corp. (VNPT).,,Vietnam Post & Telecommunications Corp. (VNPT).,,Vietnam Post & Telecommunications Corp. (VNPT).,,Ministry of Posts and Telematics (MPT).,,Ministry of Posts and Telematics (MPT).,,Ministry of Posts and Telematics (MPT).,,Business Monitor International Report.,,Ministry of Posts and Telematics (MPT).,,VNNIC
Wallis and Futuna,4.768067570329,5.09268690160929,5.41785182175267,5.74169143474737,6.05978992728252,6.70421024403325,7.33333333333333,7.95,8.22,8.48,,,,,,,,,,,,,,,,,Service des Postes et Télécommunications,,Service des Postes et Télécommunications,,Service des Postes et Télécommunications
Yemen,0.0825003865143108,0.0908024587169292,0.518796032123435,0.604734100431821,0.881222988679516,1.04859793417826,1.24782404904485,5.01,6.89,9.96,,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Telecommunications and Information Technology.,,,,ITU estimate.,,Ministry of Telecommunications and Information Technology.,,Ministry of Telecommunications and Information Technology.,,Ministry of Telecommunications and Information Technology,,Ministry of Telecommunications and Information Technology
Zambia,0.191071642503428,0.233129556342332,0.477750906947484,0.980483039426114,2.01354953218533,2.85175226129009,4.15991339393107,4.87,5.55,6.31,,,Zambia Telecommunications Company Limited (Zamtel).,,Zambia Telecommunications Company Limited (Zamtel).,,Communications Authority.,,Communications Authority.,,Communications Authority.,,ITU estimate.,,Communications Authority.,,Communications Authority,,Communications Authority,,Communications Authority
Zimbabwe,0.401433535211582,0.799846045633137,3.99435613455612,6.39478645849612,6.5640450271075,8.01597808880485,9.79184150186944,10.85,11.4,11.36,,,"PTC, ZISPA, ITU estimate.",,"PTC, ZISPA, ITU estimate.",,"PTC, ZISPA, ITU estimate.",,"PTC, ZISPA, ITU estimate.",,"PTC, ZISPA, ITU estimate.",,"PTC, ZISPA, ITU estimate.",,"PTC, ZISPA, ITU estimate.",,Postal and Telecommunications Regulatory Authority,,Postal and Telecommunications Regulatory Authority,,Postal and Telecommunications Regulatory Authority
source: ITU World Telecommunication / ICT Indicators Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
